name,rate,term_months,min_amount,can_replenish,currency,payout_mode
Приличный,22.8,12,10000,False,EUR,monthly
Редактор,24.82,24,500000,True,USD,end
Видимо,5.9,6,10000,False,EUR,end
Монета,10.64,36,50000,True,RUB,end
Лапа,18.75,6,100000,False,RUB,monthly
Через,18.34,60,500000,False,EUR,monthly
Засунуть,21.31,36,10000,True,EUR,monthly
Металл,9.05,60,50000,True,USD,end
Появление,5.12,24,100000,False,USD,end
Ныне,16.86,12,50000,True,EUR,monthly
Каюта,7.36,6,100000,True,USD,monthly
Необычный,16.88,6,50000,True,RUB,end
Издали,18.18,6,10000,False,RUB,monthly
Рот,17.74,60,10000,False,EUR,monthly
Спалить,16.13,60,500000,False,USD,monthly
Социалистический,10.02,12,10000,True,RUB,monthly
Ныне,6.83,60,50000,False,USD,monthly
Рассуждение,24.61,60,100000,True,EUR,monthly
Советовать,5.98,12,50000,False,RUB,monthly
Аж,22.17,12,10000,True,RUB,end
Место,6.37,12,10000,True,EUR,end
Сверкать,22.83,6,100000,True,EUR,monthly
Картинка,15.29,12,50000,True,RUB,monthly
Пробовать,15.33,36,50000,True,USD,end
Передо,7.7,24,500000,True,RUB,monthly
Отражение,11.58,6,10000,True,USD,monthly
Карандаш,23.18,6,500000,False,RUB,monthly
Народ,12.07,24,500000,False,EUR,end
Еврейский,17.66,24,10000,True,USD,end
Порог,10.54,36,100000,False,EUR,end
Число,13.66,12,100000,True,RUB,end
Развернуться,15.31,12,50000,False,USD,end
Выражение,21.36,60,500000,True,USD,monthly
Аллея,20.63,6,50000,False,USD,monthly
Адвокат,22.3,36,10000,True,EUR,end
Понятный,14.75,36,10000,False,USD,monthly
Опасность,22.93,12,10000,False,RUB,end
Серьезный,8.37,6,100000,True,USD,monthly
Школьный,19.85,36,500000,False,RUB,monthly
Секунда,19.11,60,100000,True,RUB,end
Спорт,21.35,24,100000,False,USD,monthly
Фонарик,7.18,6,50000,False,USD,end
Бригада,17.94,60,50000,False,RUB,end
Решение,8.27,6,10000,True,USD,end
Тысяча,6.93,60,100000,False,EUR,monthly
Сверкающий,22.74,6,10000,False,RUB,monthly
Господь,6.59,12,50000,True,RUB,monthly
Холодно,9.0,60,50000,True,EUR,end
Конструкция,12.29,24,500000,True,RUB,monthly
Дрогнуть,21.54,60,100000,False,USD,monthly
Находить,18.46,12,50000,True,USD,monthly
Поздравлять,24.92,12,500000,False,EUR,monthly
Рота,5.59,6,100000,False,RUB,end
Заработать,19.74,6,500000,True,EUR,end
Фонарик,13.92,24,500000,True,RUB,monthly
Потянуться,11.8,24,500000,False,USD,monthly
Правление,7.22,60,50000,False,USD,end
Носок,14.98,60,500000,True,USD,end
Ставить,13.92,60,50000,False,RUB,monthly
Развернуться,16.86,36,50000,True,EUR,end
Спорт,15.18,36,100000,False,EUR,end
Пространство,5.04,60,500000,True,RUB,monthly
Демократия,15.81,60,50000,False,RUB,monthly
Житель,19.3,12,100000,False,RUB,end
Пропаганда,19.21,6,500000,False,USD,end
Роса,7.9,60,100000,False,RUB,end
Страсть,7.45,6,100000,True,USD,monthly
Белье,15.05,6,500000,True,USD,end
Сынок,15.84,36,100000,True,USD,end
Угроза,12.88,60,100000,True,RUB,monthly
Увеличиваться,22.62,36,500000,False,USD,monthly
Сверкать,22.21,36,10000,True,USD,monthly
Степь,6.4,60,100000,True,USD,monthly
Инфекция,20.31,24,100000,True,RUB,monthly
Оборот,8.67,6,50000,True,EUR,monthly
Человечек,13.04,36,10000,True,USD,end
Господь,15.87,36,500000,False,USD,monthly
Новый,9.19,36,50000,True,RUB,monthly
Засунуть,12.33,36,50000,True,RUB,monthly
Металл,9.44,36,500000,False,USD,monthly
Мелочь,17.14,36,50000,True,EUR,end
Пересечь,16.68,36,500000,True,EUR,end
Ставить,16.91,36,10000,False,EUR,end
Ведь,23.06,36,100000,True,RUB,end
Полюбить,17.35,60,10000,True,EUR,monthly
Крыса,23.66,12,50000,False,RUB,monthly
Пламя,8.33,36,100000,False,USD,end
Невыносимый,17.89,12,50000,False,RUB,end
Премьера,6.55,24,50000,False,EUR,monthly
Необычный,15.69,12,500000,False,USD,monthly
Экзамен,18.81,24,10000,False,RUB,end
Упор,24.92,12,500000,False,RUB,monthly
Руководитель,16.58,24,100000,True,RUB,monthly
Число,8.15,24,500000,False,RUB,end
Лиловый,12.12,24,10000,False,EUR,monthly
Успокоиться,19.41,36,500000,True,USD,end
Зарплата,13.17,24,50000,True,RUB,end
Бочок,24.2,24,50000,False,EUR,end
Постоянный,24.42,24,50000,False,RUB,end
Шлем,19.21,24,50000,False,USD,monthly
Цель,6.62,12,10000,True,USD,monthly
Очутиться,24.1,24,10000,False,RUB,end
Армейский,5.52,6,10000,False,EUR,end
Посидеть,7.3,24,100000,False,EUR,monthly
Порядок,6.94,6,500000,False,RUB,end
Головка,5.92,36,100000,True,RUB,end
Недостаток,15.99,36,100000,True,USD,end
Мотоцикл,14.23,60,10000,True,RUB,end
Гулять,8.04,12,100000,False,USD,monthly
Покидать,22.41,60,500000,True,USD,end
Шлем,13.01,12,500000,True,EUR,end
Изба,24.63,12,500000,True,EUR,monthly
Желание,12.23,36,500000,False,EUR,end
Достоинство,6.85,6,10000,True,RUB,end
Порт,21.45,36,50000,True,USD,end
Доставать,13.58,36,500000,False,EUR,monthly
Бригада,8.81,12,500000,False,RUB,monthly
Рота,24.17,6,50000,True,USD,end
Уничтожение,19.4,6,500000,False,EUR,end
Приличный,16.61,60,500000,False,USD,end
Монета,11.44,36,10000,True,USD,end
Секунда,6.3,6,100000,True,EUR,end
Разнообразный,18.51,24,500000,False,RUB,end
Поколение,19.08,60,100000,True,EUR,end
Сверкать,16.8,60,500000,True,RUB,monthly
Тысяча,8.21,12,500000,False,EUR,monthly
Князь,15.84,12,500000,True,USD,monthly
Появление,23.29,6,50000,False,RUB,end
Аж,18.22,12,500000,False,EUR,monthly
Пропадать,8.82,12,500000,True,EUR,end
Вчера,6.92,12,50000,False,USD,monthly
Карман,23.56,36,50000,False,RUB,monthly
Чувство,24.96,6,10000,False,EUR,monthly
Порода,18.89,6,100000,False,EUR,monthly
Изба,5.85,24,50000,True,EUR,end
Заведение,17.3,60,50000,True,EUR,monthly
Школьный,23.92,12,100000,True,USD,end
Передо,7.52,36,500000,False,RUB,monthly
Дыхание,18.69,24,100000,False,EUR,monthly
Через,9.47,60,10000,False,USD,end
Слать,15.97,60,100000,False,RUB,end
Коричневый,9.01,36,500000,True,RUB,end
Ответить,13.04,12,500000,True,RUB,monthly
Разуметься,5.78,24,100000,False,USD,end
Реклама,24.75,6,500000,True,EUR,monthly
Природа,20.21,24,50000,True,RUB,end
Карман,20.64,12,50000,False,EUR,end
Протягивать,16.86,36,100000,True,EUR,monthly
Построить,14.33,36,10000,False,RUB,monthly
Академик,7.57,12,10000,True,RUB,end
Цепочка,20.48,12,50000,False,EUR,end
Близко,7.79,24,100000,False,RUB,end
Страсть,13.43,36,50000,True,EUR,monthly
Палата,9.89,6,100000,False,EUR,monthly
Реклама,6.3,12,100000,True,RUB,end
Госпожа,13.93,24,10000,True,EUR,monthly
Руководитель,19.61,24,10000,True,RUB,end
Ярко,11.72,60,500000,True,USD,end
Избегать,18.0,60,500000,True,USD,end
Ломать,18.55,6,50000,True,RUB,end
Ленинград,14.3,24,500000,False,USD,end
Пятеро,23.38,36,100000,False,RUB,monthly
Вариант,16.9,36,50000,False,RUB,monthly
Полюбить,19.32,24,100000,False,RUB,monthly
Результат,11.89,36,50000,True,RUB,monthly
Запретить,21.25,24,10000,True,USD,monthly
Выражаться,7.93,60,500000,False,RUB,end
Выражаться,13.36,36,10000,False,RUB,monthly
Парень,13.02,36,500000,True,USD,monthly
Посвятить,6.91,60,500000,False,RUB,end
Правильный,9.78,60,100000,False,EUR,monthly
Желание,17.6,24,10000,False,RUB,end
Лапа,23.5,12,50000,True,RUB,monthly
Засунуть,11.19,24,10000,False,EUR,end
Парень,8.76,36,50000,True,RUB,end
Промолчать,18.5,36,500000,False,EUR,end
Лететь,12.58,60,50000,True,USD,monthly
Порт,15.76,60,500000,False,RUB,end
Следовательно,10.01,6,50000,False,EUR,end
Куча,10.16,24,10000,True,EUR,end
Спалить,24.83,24,500000,True,USD,end
Песня,13.64,60,10000,True,EUR,monthly
Процесс,22.8,6,500000,True,RUB,monthly
Славный,18.26,24,100000,True,USD,monthly
Стакан,10.73,12,50000,True,EUR,monthly
Командир,9.89,36,50000,False,USD,end
Тысяча,20.15,12,50000,False,EUR,end
Обида,5.56,6,100000,False,EUR,end
Выражение,12.83,12,100000,False,USD,end
Манера,7.46,36,10000,False,USD,monthly
Трубка,13.28,60,500000,False,EUR,end
Металл,12.16,12,100000,False,RUB,end
Дружно,22.71,60,50000,True,USD,end
Прежде,9.06,60,10000,True,USD,monthly
Тысяча,19.25,36,100000,True,USD,monthly
Домашний,8.9,12,50000,False,RUB,monthly
Поговорить,12.89,6,10000,False,USD,monthly
Командир,11.26,12,500000,True,USD,monthly
Социалистический,13.04,60,500000,True,USD,end
Армейский,15.58,60,500000,False,USD,monthly
Ночь,22.15,36,50000,False,EUR,end
Поговорить,8.17,36,50000,False,USD,end
Ставить,6.67,6,500000,True,EUR,end
Равнодушный,12.7,6,500000,True,RUB,monthly
Потом,11.51,12,10000,False,EUR,monthly
Увеличиваться,11.1,12,50000,False,USD,monthly
Миг,19.71,60,100000,True,USD,monthly
Присесть,24.19,6,50000,True,RUB,monthly
Казнь,11.18,60,10000,False,USD,monthly
Кидать,24.51,60,10000,True,EUR,monthly
Экзамен,10.47,6,50000,True,USD,end
Провал,10.53,6,10000,False,USD,monthly
Успокоиться,15.14,12,50000,True,USD,end
Бок,24.79,60,10000,True,EUR,monthly
Вообще,17.46,36,10000,False,EUR,monthly
Намерение,23.24,6,100000,False,USD,end
Понятный,15.61,36,50000,True,USD,end
Господь,24.92,12,10000,False,RUB,end
Штаб,18.13,6,50000,True,RUB,monthly
Постоянный,8.5,12,500000,True,EUR,monthly
Написать,8.96,36,50000,True,USD,end
Возникновение,24.54,36,10000,True,RUB,end
Подземный,18.94,6,500000,True,USD,end
Палец,5.73,12,10000,True,RUB,monthly
Интеллектуальный,18.8,24,500000,False,USD,monthly
Эпоха,7.85,12,500000,True,USD,monthly
Заложить,11.06,36,50000,False,RUB,end
Построить,11.91,6,100000,True,USD,monthly
Ход,10.87,60,10000,False,RUB,end
Дальний,11.22,6,500000,False,USD,monthly
Радость,8.47,6,100000,True,EUR,end
Инвалид,17.44,60,10000,True,RUB,monthly
Поколение,7.6,36,50000,False,RUB,end
Инструкция,6.62,60,50000,True,EUR,end
О,24.39,36,500000,True,EUR,end
Интеллектуальный,21.8,12,500000,True,RUB,end
Вчера,9.94,12,100000,False,EUR,monthly
Настать,9.91,12,50000,False,EUR,monthly
Совет,18.48,6,500000,True,USD,monthly
Оставить,18.07,6,10000,True,RUB,monthly
Грудь,15.02,6,500000,True,RUB,monthly
Функция,23.43,12,10000,True,RUB,monthly
Постоянный,11.36,24,100000,False,RUB,monthly
Ручей,13.97,6,100000,True,EUR,end
Изменение,6.33,60,500000,False,EUR,monthly
Порт,24.46,36,10000,True,USD,end
Куча,20.86,60,500000,True,RUB,monthly
Второй,12.61,36,10000,False,EUR,end
Мелькнуть,15.63,60,10000,False,EUR,monthly
Аж,11.06,60,50000,False,USD,monthly
Роса,5.45,36,500000,True,EUR,end
Бегать,15.8,24,50000,True,USD,end
Роскошный,23.8,60,10000,True,USD,end
Торговля,11.89,36,50000,True,RUB,end
Неудобно,22.05,24,500000,True,EUR,end
Командующий,21.28,12,50000,True,EUR,end
Столетие,8.64,24,500000,False,USD,end
Устройство,10.51,36,10000,False,EUR,monthly
Полюбить,18.21,60,50000,True,EUR,monthly
Засунуть,21.42,12,500000,True,EUR,monthly
Решетка,13.0,60,500000,False,USD,end
Расстегнуть,5.07,24,10000,True,USD,end
Сверкающий,10.52,60,10000,True,RUB,monthly
Мягкий,22.23,24,50000,True,EUR,end
Привлекать,11.9,36,50000,True,USD,monthly
Художественный,9.9,6,10000,False,EUR,monthly
Художественный,15.87,36,50000,True,EUR,monthly
Грустный,15.35,24,100000,False,RUB,monthly
Мальчишка,24.23,6,100000,True,RUB,end
Торопливый,18.18,36,50000,False,EUR,monthly
Отъезд,20.87,12,500000,True,USD,end
Наткнуться,9.76,36,500000,True,EUR,end
Помолчать,14.05,60,500000,False,USD,end
Боец,21.23,6,50000,False,RUB,end
Космос,18.57,36,50000,False,USD,monthly
Неправда,12.55,6,500000,False,USD,end
Костер,18.89,60,10000,True,EUR,end
Порода,11.58,60,500000,True,USD,end
Добиться,9.85,6,500000,True,RUB,monthly
Печатать,21.52,6,500000,False,USD,end
Рот,14.89,6,100000,False,RUB,end
Освободить,8.4,60,10000,True,USD,monthly
Висеть,18.78,6,100000,False,RUB,monthly
Житель,5.96,24,10000,True,RUB,end
Термин,8.63,36,100000,True,USD,monthly
Угол,22.08,36,500000,True,USD,end
Картинка,15.6,36,10000,True,EUR,monthly
Неожиданный,6.72,60,500000,False,RUB,monthly
Карман,23.84,60,50000,False,RUB,monthly
Мрачно,8.79,24,50000,False,USD,monthly
Зачем,23.89,6,100000,False,USD,end
Товар,19.06,60,10000,True,USD,end
Коричневый,21.76,60,100000,False,USD,end
Запеть,22.9,12,10000,True,RUB,monthly
О,9.17,24,10000,False,RUB,monthly
Порог,22.41,36,50000,False,EUR,end
Темнеть,9.26,12,50000,False,RUB,end
Командир,7.07,6,100000,True,USD,monthly
Заявление,5.24,24,100000,True,USD,end
Освободить,20.18,60,10000,False,EUR,end
Армейский,7.9,12,500000,True,USD,end
Упорно,19.1,24,100000,False,EUR,end
А,20.42,24,10000,True,RUB,monthly
Понятный,22.26,24,50000,True,USD,end
Ягода,5.48,36,100000,True,RUB,end
Заработать,13.51,36,10000,True,RUB,monthly
Вытаскивать,22.0,36,100000,True,EUR,end
Мрачно,23.63,36,10000,True,RUB,end
Теория,6.13,60,500000,False,RUB,monthly
Житель,22.74,12,10000,False,RUB,monthly
Инструкция,18.28,24,100000,True,RUB,end
Полностью,24.94,24,100000,False,RUB,monthly
Успокоиться,6.75,6,50000,True,RUB,monthly
Приятель,19.57,12,50000,True,USD,end
Шлем,17.76,60,50000,False,RUB,monthly
Вытаскивать,12.9,60,500000,True,RUB,end
Зима,20.34,60,500000,False,RUB,monthly
Протягивать,7.62,12,10000,True,EUR,monthly
А,21.19,12,10000,True,RUB,end
Неудобно,11.35,36,100000,True,EUR,end
Холодно,10.5,6,10000,True,RUB,monthly
Потом,23.18,12,50000,False,EUR,monthly
Падаль,9.6,24,50000,False,RUB,monthly
Угроза,8.19,24,100000,False,RUB,monthly
Наткнуться,22.16,36,10000,True,USD,end
Цепочка,9.85,60,10000,True,RUB,end
Банда,6.8,60,50000,False,USD,end
Граница,7.59,12,10000,True,USD,monthly
Смеяться,13.78,12,50000,True,RUB,end
Девка,16.29,12,50000,False,RUB,monthly
Сынок,6.6,36,50000,False,EUR,monthly
Хлеб,10.45,12,500000,True,RUB,monthly
Художественный,13.3,24,50000,True,USD,end
Армейский,7.4,12,50000,True,RUB,monthly
Бочок,19.33,6,50000,False,USD,end
Ягода,12.64,6,50000,True,EUR,end
Гулять,20.33,36,100000,True,USD,end
Возникновение,12.46,6,50000,True,RUB,end
Что,8.19,36,500000,False,USD,monthly
Точно,23.69,36,10000,False,RUB,end
Сустав,10.59,36,10000,False,RUB,monthly
Тяжелый,11.38,60,10000,False,USD,end
Витрина,18.14,36,100000,True,USD,end
Теория,15.22,12,100000,True,RUB,monthly
Находить,13.83,60,100000,False,EUR,end
Социалистический,7.3,6,50000,False,USD,monthly
Изменение,9.48,6,50000,True,EUR,monthly
Плясать,12.18,60,100000,True,RUB,end
Монета,14.56,24,500000,False,RUB,end
Предоставить,7.44,12,100000,True,USD,end
Дорогой,16.54,12,500000,False,RUB,monthly
Выгнать,14.28,12,500000,False,RUB,monthly
Салон,21.43,6,50000,False,EUR,monthly
Потом,17.66,12,100000,False,EUR,monthly
Носок,5.03,6,100000,True,EUR,monthly
Ребятишки,13.58,36,100000,False,USD,monthly
Ягода,6.71,12,50000,False,USD,monthly
Ответить,7.38,6,100000,True,EUR,monthly
Мера,18.38,60,500000,False,EUR,end
Тревога,5.79,36,10000,True,RUB,monthly
Собеседник,15.08,12,100000,True,USD,monthly
Вперед,21.81,12,100000,True,USD,monthly
Салон,24.33,12,500000,False,RUB,monthly
Интеллектуальный,17.5,36,100000,True,EUR,end
За,12.89,6,10000,False,RUB,end
Деловой,24.99,36,100000,False,EUR,end
Промолчать,12.18,60,50000,True,EUR,monthly
Еврейский,13.5,24,500000,True,USD,monthly
Неудобно,15.48,36,10000,True,RUB,monthly
Иной,18.53,12,100000,False,USD,monthly
Изображать,6.29,60,10000,False,USD,monthly
Выкинуть,15.26,36,100000,True,USD,monthly
Покинуть,24.04,60,10000,False,USD,end
А,7.63,36,100000,True,EUR,end
Степь,12.84,24,100000,False,EUR,end
Советовать,19.35,36,100000,False,RUB,monthly
Пропаганда,18.9,12,100000,False,RUB,end
Жидкий,15.75,60,100000,False,USD,monthly
Равнодушный,9.02,6,10000,False,USD,end
Изредка,22.8,24,50000,False,EUR,end
Дрогнуть,7.41,60,500000,True,USD,monthly
Падать,13.53,12,500000,False,EUR,monthly
Факультет,24.83,24,500000,True,USD,end
Нажать,22.31,6,100000,True,RUB,monthly
Триста,24.9,36,50000,True,EUR,monthly
Засунуть,18.41,60,10000,True,RUB,end
Командование,13.27,36,100000,False,USD,end
Желание,16.38,6,100000,True,EUR,monthly
Ботинок,8.37,12,10000,True,USD,end
Товар,6.45,24,10000,True,USD,monthly
Июнь,7.78,12,500000,True,USD,end
Изучить,19.72,12,50000,False,USD,end
Демократия,10.25,60,10000,False,EUR,monthly
Ягода,16.27,12,100000,True,RUB,end
Свежий,18.5,60,500000,True,USD,monthly
Войти,23.03,24,50000,False,EUR,monthly
Жестокий,14.38,60,50000,True,USD,monthly
Другой,6.14,6,500000,True,USD,monthly
Тревога,23.56,6,500000,False,USD,end
Зеленый,23.7,12,100000,True,EUR,monthly
Достоинство,20.2,6,500000,False,USD,end
Валюта,12.25,36,500000,True,USD,end
Счастье,13.37,36,500000,True,USD,monthly
Ломать,10.56,60,10000,True,RUB,end
Оставить,19.48,60,500000,True,USD,end
Устройство,12.4,24,500000,False,USD,monthly
Налево,7.01,6,100000,True,RUB,end
Означать,23.31,12,500000,True,RUB,end
Заложить,17.71,12,500000,False,EUR,end
Прошептать,24.97,60,100000,True,RUB,end
Уничтожение,13.89,24,50000,False,USD,end
Приятель,12.29,36,100000,False,USD,monthly
Торопливый,17.86,12,50000,False,RUB,monthly
Оставить,8.35,36,100000,False,EUR,monthly
Слишком,19.68,60,500000,False,RUB,end
Избегать,19.65,6,500000,True,RUB,monthly
Потрясти,10.83,60,500000,False,EUR,monthly
Бегать,23.46,60,10000,False,EUR,end
Цепочка,13.34,36,100000,False,EUR,end
Покидать,10.81,12,50000,True,RUB,monthly
Тюрьма,7.54,24,50000,True,RUB,monthly
Приятель,16.03,60,100000,False,RUB,monthly
Механический,15.16,36,10000,False,EUR,end
Расстройство,22.71,6,100000,True,EUR,monthly
Правый,13.53,12,50000,True,USD,monthly
Второй,12.17,6,100000,True,RUB,end
Князь,11.69,12,100000,False,RUB,monthly
Строительство,24.66,36,10000,True,EUR,end
Интеллектуальный,5.49,60,50000,True,RUB,end
Ботинок,15.46,24,100000,False,USD,end
Миф,8.53,60,100000,True,EUR,monthly
Смеяться,11.84,36,100000,False,USD,end
Школьный,23.7,36,50000,False,USD,end
Сверкать,16.98,60,100000,True,RUB,monthly
Адвокат,12.5,6,50000,True,RUB,end
Заработать,20.68,60,100000,False,RUB,monthly
Упорно,22.46,6,500000,False,RUB,end
Банда,22.48,6,10000,False,USD,monthly
Миллиард,22.37,6,500000,False,EUR,monthly
Вздрогнуть,16.11,12,50000,True,USD,monthly
Вскакивать,8.94,60,100000,False,EUR,monthly
Карандаш,13.02,12,10000,False,RUB,monthly
Место,6.55,24,100000,True,EUR,monthly
Слать,19.01,36,10000,True,RUB,end
Рис,24.86,36,100000,True,EUR,end
Отдел,9.15,60,500000,True,RUB,monthly
Равнодушный,7.81,12,500000,False,EUR,monthly
Естественный,19.05,36,500000,True,RUB,monthly
Металл,8.89,36,100000,False,EUR,end
Поезд,12.0,12,50000,False,USD,end
Какой,7.97,6,10000,False,USD,end
Парень,5.33,60,50000,False,EUR,monthly
Спорт,24.95,24,100000,True,USD,end
Запретить,24.81,6,500000,True,RUB,end
Выражение,22.73,60,10000,False,EUR,end
Одиннадцать,17.59,24,100000,True,RUB,end
Покидать,9.25,36,100000,True,EUR,monthly
Пробовать,18.58,6,500000,False,EUR,monthly
Зарплата,11.75,24,100000,False,EUR,monthly
Степь,21.88,12,10000,True,USD,monthly
Оборот,19.56,60,10000,False,EUR,end
Роса,8.85,6,100000,True,USD,monthly
Снимать,10.81,6,100000,False,USD,monthly
Спорт,7.43,6,10000,True,EUR,end
Увеличиваться,24.74,12,100000,False,USD,end
Решение,16.8,24,500000,False,EUR,end
Мелькнуть,21.68,60,500000,True,RUB,end
Художественный,16.31,6,100000,True,USD,end
Спичка,18.64,12,500000,True,USD,monthly
Школьный,13.92,6,50000,False,RUB,end
Сынок,11.42,24,50000,False,RUB,end
Даль,16.68,36,10000,True,EUR,end
Сопровождаться,19.8,12,50000,True,EUR,end
Дрогнуть,8.52,6,100000,True,USD,end
Рабочий,15.97,36,50000,True,EUR,monthly
Написать,13.14,60,500000,False,EUR,monthly
Тута,8.33,24,500000,False,USD,end
Печатать,23.92,60,100000,True,RUB,monthly
Интеллектуальный,6.91,36,10000,True,EUR,end
Премьера,10.22,24,50000,False,RUB,end
Провинция,6.97,36,50000,False,RUB,end
Пища,24.41,12,100000,False,EUR,end
Смертельный,19.29,36,10000,False,USD,end
Эффект,11.73,36,500000,False,USD,end
Пространство,17.88,12,100000,True,RUB,monthly
Миг,19.18,6,10000,True,RUB,monthly
Чувство,18.6,36,10000,False,USD,monthly
Четко,7.9,60,500000,True,USD,end
Развернуться,8.98,6,50000,False,RUB,monthly
Передо,23.9,60,50000,False,RUB,monthly
Подземный,23.46,12,10000,False,USD,monthly
Правление,12.36,24,50000,True,EUR,monthly
Процесс,24.17,6,500000,True,EUR,end
Изменение,6.07,12,10000,False,RUB,monthly
Дошлый,21.21,36,100000,False,EUR,end
Прошептать,15.49,60,50000,False,RUB,end
При,22.45,36,100000,True,EUR,monthly
Правление,18.6,6,10000,False,EUR,end
Цепочка,12.85,12,100000,True,USD,end
Рассуждение,5.02,24,500000,False,USD,end
Жестокий,19.96,24,100000,False,USD,end
Что,6.75,36,10000,False,EUR,monthly
Ход,16.29,36,500000,True,USD,monthly
Цель,14.41,60,50000,False,USD,monthly
Инфекция,10.8,12,100000,False,USD,end
Пол,11.44,36,500000,False,RUB,end
Поздравлять,6.28,36,100000,True,RUB,monthly
Зима,15.72,6,100000,False,USD,end
Легко,13.71,36,50000,False,EUR,end
